date,close,sma,sma_long,rsi,ema,ema_long,mom,roc,adx,composite_score,bull_components,total_components,signal,atr,peak_composite,confidence,peak_confidence,effective_risk_fraction,realized_vol
2023-03-14,150.69766235351562,,,58.365445134560844,144.92232374896622,,-1.2444000244140625,-0.8189964022726204,48.726847308146084,0.2,1,5,-1,3.524473712234246,0.6,0.2,0.6,,
2023-03-15,151.09271240234375,142.88406631469726,,59.00003188510213,145.2749173863021,,-0.2073822021484375,-0.1370668026947075,47.5053720721366,0.2,1,5,-1,3.507633095974878,0.6,0.2,0.6,,
2023-03-16,153.91726684570312,143.49579864501953,,63.30638899055301,145.7687659268393,,0.513580322265625,0.3347900783252422,46.68791748485433,0.6,3,5,-1,3.597104522923032,0.6,0.6,0.6,,
2023-03-17,153.07774353027344,144.06529937744142,,61.2472731714534,146.18642178989268,,1.273956298828125,0.8392124610737239,45.93972879288812,0.6,3,5,-1,3.513704097012913,0.6,0.6,0.6,,
2023-03-20,155.44802856445312,144.70863342285156,,64.73490612979077,146.7156564627247,,4.7898406982421875,3.179276723078406,45.33960328024076,0.6,3,5,-1,3.5216181237867117,0.6,0.6,0.6,,
2023-03-21,157.30467224121094,145.29837951660156,,67.22323226769916,147.3207430786382,,10.666046142578125,7.2736948144916935,44.926510626927,0.6,3,5,-1,3.471826260093029,0.6,0.6,0.6,,
2023-03-22,155.8726806640625,145.84903350830078,,63.50151863830498,147.80942522637673,,8.809371948242188,5.990190228390069,44.78530094544682,0.6,3,5,-1,3.5292889216484844,0.6,0.6,0.6,,
2023-03-23,156.95899963378906,146.40997528076173,,65.08090410103661,148.33225804965744,,9.411773681640625,6.378821167870008,44.622921194109566,0.6,3,5,-1,3.5501979907181345,0.6,0.6,0.6,,
2023-03-24,158.26268005371094,146.94255798339844,,66.93034907800582,148.89971073560335,,13.3720703125,9.229080018631874,44.46866043033917,0.6,3,5,-1,3.472263201231697,0.6,0.6,0.6,,
2023-03-27,156.31712341308594,147.43780731201173,,61.680088797363155,149.32356288860237,,10.231552124023438,7.003807449113553,44.36405950628351,0.6,3,5,-1,3.428819066528798,0.6,0.6,0.6,,
2023-03-28,155.6949005126953,147.8939874267578,,60.05748793646426,149.6876393242648,,10.11297607421875,6.946587712193986,43.82148865089774,0.6,3,5,-1,3.360966413743018,0.6,0.6,0.6,,
2023-03-29,158.77622985839844,148.38852264404298,,64.97178624517838,150.20698735478672,,15.268280029296875,10.639326983264219,43.57707495239399,0.6,3,5,-1,3.3607442231830738,0.6,0.6,0.6,,
2023-03-30,160.3465118408203,148.92886016845702,,67.18738539130864,150.78638875398863,,16.245986938476562,11.274065066373895,43.48362409194403,0.6,3,5,-1,3.240613809593317,0.6,0.6,0.6,,
2023-03-31,162.85499572753906,149.51818420410157,,70.40751254760951,151.4760234381915,,13.697982788085938,9.183599562728118,43.6237217916735,0.6,3,5,-1,3.2271182459743715,0.6,0.6,0.6,,
2023-04-03,164.1092529296875,150.08131652832031,,71.89279748820445,152.19792226627698,,12.186965942382812,8.021842077325502,43.86543211417003,0.6,3,5,-1,3.1426327432782295,0.6,0.6,0.6,,
2023-04-04,163.5759735107422,150.5698843383789,,70.27769997589722,152.84809662310357,,13.85601806640625,9.254623423634234,44.14100056455172,0.6,3,5,-1,3.040197653745608,0.6,0.6,0.6,,
2023-04-05,161.72914123535156,150.9935104370117,,64.84463693842343,153.3555848866606,,10.75494384765625,7.123696653963996,43.64490339488265,0.5421923644109454,3,5,-1,3.0932204707304103,0.6,0.5421923644109454,0.6,,
2023-04-06,162.6179962158203,151.44812744140626,,66.19902935705485,153.88486553404115,,13.895523071289062,9.343257126839966,43.173611083697025,0.6,3,5,-1,3.0810831952964186,0.6,0.5710961822054728,0.6,,
2023-04-10,160.02059936523438,151.80938018798827,,59.0409229886218,154.23547889582363,,13.362228393554688,9.111125607780668,42.31499630460642,0.6,3,5,0,3.184092331318628,0.6,0.5710961822054728,0.6,,
